Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal
0.0,0.0,0.0,0.212,Empty Land,42500,E3
2.0,2.0,2064.0,0.7240000000000001,Family,244500,E4
3.0,2.0,1600.0,0.7240000000000001,Family,229900,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,10000,E7
0.0,0.0,0.0,7.0,Empty Land,49900,E9
3.0,2.0,1584.0,0.7240000000000001,Residential,165000,E1
0.0,0.0,0.0,3.9,Empty Land,59900,E9
5.0,1.0,1584.0,0.7240000000000001,Residential,99000,E5
3.0,2.0,2009.0,0.7240000000000001,Residential,259900,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,29900,E5
3.0,1.0,1584.0,0.7240000000000001,Family,89900,E7
2.0,1.0,924.0,1.0,Residential,49900,E1
0.0,0.0,0.0,0.988,Empty Land,19900,E9
0.0,0.0,0.0,2.8,Empty Land,9900,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,134900,E6
6.0,3.0,1160.0,0.161,Residential,289900,E3
8.0,4.0,2688.0,0.308,Family,99900,E1
0.0,0.0,0.0,2.2199999999999998,Empty Land,53900,E2
3.0,2.0,1250.0,0.7240000000000001,Family,182000,E1
0.0,0.0,0.0,2.2199999999999998,Empty Land,99000,E6
3.0,2.0,3520.0,0.7240000000000001,Family,885000,E2
4.0,1.0,1584.0,0.7240000000000001,Family,139900,E2
3.0,2.0,1420.0,0.7240000000000001,Family,184900,E1
0.0,0.0,0.0,2.2199999999999998,Empty Land,99000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,49900,E6
4.0,3.0,1730.0,0.7240000000000001,Family,249900,E3
2.0,1.0,945.0,5.0,Residential,59000,E9
7.0,2.0,3700.0,1.8,Residential,495000,E5
0.0,0.0,0.0,9.04,Empty Land,69500,E3
3.0,2.0,1350.0,0.7240000000000001,Family,189900,E1
0.0,0.0,0.0,0.46,Empty Land,99900,E3
4.0,2.0,1584.0,0.7240000000000001,Residential,199500,E3
2.0,2.0,1232.0,0.12,Residential,260900,E1
4.0,2.0,1584.0,0.7240000000000001,Family,284900,E3
3.0,3.0,1584.0,0.7240000000000001,Family,687900,E3
0.0,0.0,0.0,1.0,Empty Land,75000,E3
4.0,1.0,1405.0,0.145,Residential,180000,E1
2.0,2.0,1584.0,0.7240000000000001,Family,164900,E3
0.0,0.0,0.0,2.2199999999999998,Empty Land,99500,E2
2.0,1.0,840.0,0.7240000000000001,Family,134900,E3
3.0,2.0,1584.0,0.7240000000000001,Family,189000,E7
0.0,0.0,0.0,2.2199999999999998,Empty Land,42500,E3
0.0,0.0,0.0,2.75,Empty Land,79900,E4
2.0,2.0,1560.0,0.7240000000000001,Residential,285000,E4
0.0,0.0,0.0,1.6,Empty Land,14900,E4
3.0,2.0,1584.0,0.7240000000000001,Family,214900,E3
0.0,0.0,0.0,1.0,Empty Land,35000,E3
3.0,2.0,1584.0,0.7240000000000001,Residential,174000,E3
3.0,2.0,1456.0,0.7240000000000001,Residential,283000,E4
4.0,5.0,1584.0,0.7240000000000001,Family,685000,E2
3.0,2.0,1584.0,0.7240000000000001,Family,179900,E5
3.0,2.0,1584.0,0.7240000000000001,Family,349900,E3
3.0,2.0,1584.0,0.028,Family,139000,E3
0.0,0.0,0.0,10.3,Empty Land,19900,E1
5.0,4.0,5720.0,0.7240000000000001,Family,474900,E3
5.0,2.0,1306.0,0.7240000000000001,Family,224900,E4
3.0,2.0,1584.0,0.7240000000000001,Residential,114000,E3
0.0,0.0,0.0,1.0,Empty Land,80000,E4
4.0,2.0,1944.0,0.18,Residential,129000,E3
4.0,2.0,1584.0,0.7240000000000001,Residential,249500,E3
2.0,1.0,1584.0,0.7240000000000001,Family,199000,E5
4.0,1.0,1584.0,0.7240000000000001,Family,109900,E4
3.0,2.0,1228.0,0.7240000000000001,Family,219000,E4
