Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal Code
"53 Evergreen Street, Fredericton, New Brunswick, E3B6N1",3,2,1152,,            Single Family        ,72900,E3B6N1
"1226 Riverside Drive, Bathurst, New Brunswick, E2A4X2",4,2,2800,,            Single Family        ,239900,E2A4X2
"61 Mailhot, Moncton, New Brunswick, E1G1S6",3,2,1000,,            Single Family        ,234900,E1G1S6
"8 Beattie, Rexton, New Brunswick, E4W1W5",3,2,1566,,            Single Family        ,205000,E4W1W5
"16 Rockingstone Drive, Bayshore, New Brunswick",2,3,1566,,            Single Family        ,199900,E2M0B5
"2358 Route 490, Ammon, New Brunswick, E1G4R7",4,2,1600,,            Single Family        ,264900,E1G4R7
"351 Beausejour, Dieppe, New Brunswick, E1A1Y6",2,1,1176,,            Single Family        ,139900,E1A1Y6
"421 Ryan RD, Moncton, New Brunswick, E1C2W2",3,2,1350,,            Single Family        ,189900,E1C2W2
"1828 Westfield Road, Acamac, New Brunswick",3,1,1250,,            Single Family        ,149900,E2M6N1
"13 Alcorn ST, Lakeville, New Brunswick",2,1,856,,            Single Family        ,69900,E1H1H5
"103 Canaan Drive, Rusagonis - Waasis, New Brunswick",3,3,2272,,            Single Family        ,279900,E3B0B6
"150 Alma Unit 2, Moncton, New Brunswick, E1C4Y7",2,2,1584,,            Single Family        ,228500,E1C4Y7
"93 Savannah DR, Moncton, New Brunswick, E1A0J5",4,2,1322,,            Single Family        ,285000,E1A0J5
"3751 Principale Street, Baker - Brook, New Brunswick",,,,,            Single Family        ,65000,E7A2A5
"Lot Route 490, Fords Mills, New Brunswick",,,256,,            Single Family        ,34000,E4W3R9
"400 East Glassvile Road, Glassville, New Brunswick",3,2,,,            Single Family        ,189000,E7L1W1
"44 Silas Lewis RD, Greater Salisbury, New Brunswick",2,1,1100,,            Single Family        ,145000,E4J3B9
"207 King Street Unit 6, Saint John Centre, New Brunswick",2,1,,,            Single Family        ,119000,E2L1H2
"65 Meghan, Riverview, New Brunswick, E1B4E4",4,2,960,,            Single Family        ,186500,E1B4E4
"368 Princess, Bathurst, New Brunswick, E2A2R5",4,2,,,            Single Family        ,74900,E2A2R5
"81 Riverview Drive, Saint John West, New Brunswick",3,2,,,            Single Family        ,128000,E2M2M5
"40 Rose Street, St. Stephen, New Brunswick",4,2,,,            Residential        ,189900,E3L2P9
"591 Route 935, Wood Point, NB, Greater Sackville, New Brunswick",4,2,2600,3,            Residential        ,189900,E4L2K7
"Lamberts Rd, Lambert's Cove, Deer Island, New Brunswick",,,,1.3,            Lots And Land        ,25000,E5V1E2
"81 Union Street, St. Stephen, New Brunswick",4,2,,,            Residential        ,289900,E3L1V2
"23 verte, Dieppe, New Brunswick, E1A2E1",2,,1370,,            Residential        ,269900,E1A2E1
"46 Guy, Shediac, New Brunswick, E4P 0L5",3,2,1456,,            Residential        ,283000,E4P 0L5
"2 Coady Street, Miramichi, New Brunswick, E1N 5X9",5,2,1233,0.551,            Residential        ,179900,E1N 5X9
"2993 Main St., Hillsborough, New Brunswick, E4H 2X9",3,1,1232,,            Residential        ,126500,E4H 2X9
"20 Heathfield Court , Moncton, New Brunswick, E1A 0J1",3,2,1950,,            Residential        ,459500,E1A 0J1
"43 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3,2,1423,,            Residential        ,230000,E4P 0R8
"169 Malakoff  Rd, Scoudouc, New Brunswick, E4P 1A9",3,2,2181,3,            Residential        ,399900,E4P 1A9
"87 Fraser Street, Saint Stephen, New Brunswick, E3L 4B5",2,1,,,            Residential        ,39000,E3L 4B5
"178 C K Justason Lane, Pennfield, New Brunswick",3,3,,,            Residential        ,299900,E5H1S2
"87 Fraser Street, Saint Stephen, New Brunswick, E3L 4B5",2,1,,,            Residential        ,39000,E3L 4B5
"178 C K Justason Lane, Pennfield, New Brunswick",3,3,,,            Residential        ,299900,E5H1S2
"400 South Canaan Road, South Canaan, New Brunswick",1,1,908,5,            Other        ,59900,E4C4J2
"- Route 750, Dennis-Weston, New Brunswick",,,,,            Lots And Land        ,35000,E3L4T1
"12-9 Hills Point Road, Oak Bay, New Brunswick",,,,,            Lots And Land        ,39900,E3L4H7
"2522 NB 895, Elgin, New Brunswick, E4Z 2R2",,,,95.88,            Residential        ,275000,E4Z 2R2
"93 Bethany Drive, Rusagonis - Waasis, New Brunswick",5,3,1505,0.995,            Residential        ,324900,E3B8W6
"18 Queensway, St. Stephen, New Brunswick, E3L 1L2",3,2,1348,0.73,            Residential        ,149900,E3L 1L2
"84 Colpitts Rd, Cocagne, New Brunswick, E4R 2L4",2,1,820,,            Residential        ,94000,E4R 2L4
"1301 Route 127, Rollingdam, New Brunswick",4,1,,,            Residential        ,124900,E5A2W4
"Lot 18-2 Route 960, Cape Spear, NB, Port Elgin, New Brunswick",,,,2.75,            Lots And Land        ,79900,E4M2S1
